Date,Time,Name,Address,Link,Image
28-Oct,1:00 pm - 10:00 pm,Smash on Main 15 / Smash Undercover (Halloween Edition) – $100 Pot Bonus,"East Main Street, Glacier Crossing, Sun Prairie, Dane County, Wisconsin, 53590, United States",https://wismash.com/events/smash-on-main-15/,https://wismash.com/wp-content/uploads/2023/09/Smash-on-Main-Halloween-300x300.png
29-Oct,12:00 pm - 7:00 pm,Between 2 Lakes – A Madison Smash Bros. Tournament,"Grainger Hall, 975, University Avenue, South Campus, Madison, Dane County, Wisconsin, 53706, United States",https://wismash.com/events/between-2-lakes-repeating-fall-23/,https://wismash.com/wp-content/uploads/2021/10/Between-Two-Lakes-Banner-300x300.png
30-Oct,4:15 pm - 10:00 pm,Phantasm,"100, West Capitol Drive, Town of Grand Chute, Outagamie County, Wisconsin, 54911, United States",https://wismash.com/events/phantasm-repeating/,https://wismash.com/wp-content/uploads/2021/10/Phantasm-300x300.png
30-Oct,6:00 pm - 10:00 pm,West Towne Brawl,"6640, Odana Road, Clock Tower Office Park, Madison, Dane County, Wisconsin, 53719, United States",https://wismash.com/events/west-towne-brawl-29/,https://wismash.com/wp-content/uploads/2022/12/West-Towne-Brawl-2-300x300.png
5-Nov,11:30 am - 9:00 pm,The Construct 193,"3807, South Packard Avenue, Saint Francis, Milwaukee County, Wisconsin, 53235, United States",https://wismash.com/events/construct-193/,https://wismash.com/wp-content/uploads/2022/03/Construct-Banner-300x300.png
5-Nov,11:30 am - 9:00 pm,The Construct 193,"3807, South Packard Avenue, Saint Francis, Milwaukee County, Wisconsin, 53235, United States",https://wismash.com/events/construct-193/,https://wismash.com/wp-content/uploads/2022/03/Construct-Banner-300x300.png
6-Nov,4:15 pm - 10:00 pm,Phantasm,"100, West Capitol Drive, Town of Grand Chute, Outagamie County, Wisconsin, 54911, United States",https://wismash.com/events/phantasm-repeating/,https://wismash.com/wp-content/uploads/2021/10/Phantasm-300x300.png
6-Nov,6:00 pm - 10:00 pm,West Towne Brawl,"6640, Odana Road, Clock Tower Office Park, Madison, Dane County, Wisconsin, 53719, United States",https://wismash.com/events/west-towne-brawl-29/,https://wismash.com/wp-content/uploads/2022/12/West-Towne-Brawl-2-300x300.png
11-Nov,11:45 am - 4:00 pm,Falcon Smash Clash: Origins,"Concordia University Wisconsin, 12800, Highland Road, Mequon, Ozaukee County, Wisconsin, 53097, United States",https://wismash.com/events/falcon-smash-clash-origins/,https://wismash.com/wp-content/uploads/2023/10/Falcon-Orgins-300x300.png
11-Nov,11:45 am - 4:00 pm,Falcon Smash Clash: Origins,"Concordia University Wisconsin, 12800, Highland Road, Mequon, Ozaukee County, Wisconsin, 53097, United States",https://wismash.com/events/falcon-smash-clash-origins/,https://wismash.com/wp-content/uploads/2023/10/Falcon-Orgins-300x300.png
12-Nov,12:00 pm - 7:00 pm,Between 2 Lakes – A Madison Smash Bros. Tournament,"Grainger Hall, 975, University Avenue, South Campus, Madison, Dane County, Wisconsin, 53706, United States",https://wismash.com/events/between-2-lakes-repeating-fall-23/,https://wismash.com/wp-content/uploads/2021/10/Between-Two-Lakes-Banner-300x300.png
13-Nov,4:15 pm - 10:00 pm,Phantasm,"100, West Capitol Drive, Town of Grand Chute, Outagamie County, Wisconsin, 54911, United States",https://wismash.com/events/phantasm-repeating/,https://wismash.com/wp-content/uploads/2021/10/Phantasm-300x300.png
